HR,Name,B-V,Vmag,x,y,z
170,,0.51,6.69,0.8168328720449175,-0.558638116674508,-0.1439010553999171
171,,1.14,6.01,0.6989027024764954,-0.7045929276190576,-0.12281619933973162
172,,0.92,6.49,0.9438220486815001,-0.2842988901241613,-0.16844607890012173
173,,0.7,6.14,0.9006458470400983,-0.40361626873256773,-0.16103094678919172
174,,1.1,5.91,0.9814297512093281,-0.07588274551025828,-0.17617449411030475
175,32    And,0.89,5.33,0.7596899074950979,0.6355206540759745,-0.1377851323363125
176,,0.55,5.89,0.5003318713799195,-0.8612253472048162,-0.08921277830788187
177,,1.04,5.83,0.3975938301573392,0.9145895161103494,-0.07379134937005709
178,,0.26,6.04,0.8940901530362866,0.4167435889139463,-0.16409625023952681
179,19Xi  Cas,-0.11,4.8,0.6252286012469372,0.7717633357638662,-0.11606269751056239
180,Mu  Phe,0.97,4.59,0.6823446145950374,-0.7203695548153655,-0.12439265021801749
181,,-0.01,6.17,0.5098223489727663,0.8549420502308999,-0.09568313976284651
183,Xi  Phe,0.2,5.7,0.5427701069944235,-0.833901876910461,-0.100041344645463
184,20Pi  Cas,0.18,4.94,0.6694582399733091,0.7316479050293911,-0.12851851227719033
185,Lam1Scl,-0.03,6.06,0.7694459514350779,-0.6220136759324796,-0.14509277987940009
186,,1.32,5.98,0.487444030754828,-0.8683070514740817,-0.091875901311893
187,Rho Tuc,0.5,5.39,0.4080908026152269,-0.9097299231584429,-0.0765072789412454
188,16Bet Cet,1.02,2.04,0.9339766680225549,-0.30879566510856776,-0.17981329427949302
189,,-0.12,5.67,0.6583173992547526,0.7415564046195713,-0.12927606354678833
190,,1.1,6.02,0.9602674606906874,-0.2081108586285566,-0.18594696679307324
191,Eta Phe,0.0,4.36,0.5282490878682008,-0.8430448185412174,-0.10113523173068718
192,21    Cas,0.05,5.66,0.2538990620056976,0.9658718493240208,-0.051252677940015076
193,22Omi Cas,-0.07,4.54,0.6528022323009158,0.7464575476151651,-0.12903633252419552
194,17Phi1Cet,1.01,4.76,0.9646904663657915,-0.18411337188457486,-0.18834694156328646
195,Lam2Scl,1.16,5.9,0.7689323315582595,-0.6214440932006126,-0.15016760140072627
196,,0.04,5.42,0.5593032427633942,0.8213649684175748,-0.11197978072289648
197,,0.33,5.24,0.9095336971935565,-0.3747054837968067,-0.17984508356366366
198,,0.28,5.94,0.7210944591511499,-0.6778603244547343,-0.14327652114576536
199,,0.44,6.07,0.4530905416497148,-0.8869929235474739,-0.08917687281057284
200,,0.42,6.33,0.3457776994807283,0.9355981742734768,-0.07137113448693391
201,,1.62,6.15,0.9772435825441417,-0.08070632855489854,-0.19616694142357444
202,,0.53,6.15,0.5804308542874212,-0.8060832433157973,-0.11545487532650826
203,18    Cet,0.61,6.15,0.9557056112975203,-0.2229240250073729,-0.19217612653226535
204,,0.0,6.52,0.5576519052663177,0.8221964764979299,-0.11409341167322014
205,,-0.07,6.05,0.6944734452346426,0.7053940665829617,-0.14186558671319152
206,,0.31,6.47,0.9401923446728241,-0.2827460587451188,-0.18998163406687357
207,,1.09,6.39,0.4959382489565421,0.8622878778952675,-0.10249326249463911
208,23    Cas,-0.08,5.41,0.2557318856941311,0.9652335258833084,-0.05408736590185005
