HR,Name,DM,SAO,B-V,Vmag,x,y,z,RAh,RAm,RAs,DEsn,DEd,DEm,DEs,SpType,pmRA,pmDE
8782,83    Aqr,218060,146498,0.3,5.43,0.9627658023669696,-0.13387568287655596,0.23486019528013027,23,5,9.8,-,7,41,37,F2IV+F0V,0.129,0.011
8783,,218061,165481,1.37,6.14,0.928716844732834,-0.2936927696546581,0.22633952231562443,23,5,12.8,-,17,4,45,K0,-0.048,-0.039
8784,,218101,108383,0.83,6.44,0.9311420522170758,0.28507037955711473,0.22739691574894963,23,5,6.3,+,16,33,47,G8IV,-0.185,-0.194
8785,,218103,127960,0.94,6.39,0.9713927187847315,0.022808505629490113,0.23638095939173484,23,5,17.6,+,1,18,25,G9III,0.035,-0.027
8786,,218108,258105,0.14,6.12,0.1779558375772888,-0.9831938908593211,0.04076141372763138,23,8,23.7,-,79,28,51,A3-4V,0.084,-0.038
8787,The Gru,218227,231444,0.42,4.28,0.7057368219274636,-0.688614768239078,0.16656902214626954,23,6,52.8,-,43,31,14,F5mDel Del,-0.039,-0.023
8788,,218235,108400,0.44,6.13,0.9223192869808766,0.3175942905778214,0.2201385914724124,23,6,18.2,+,18,31,3,F6V s,0.232,0.057
8789,86    Aqr,218240,191651,0.9,4.47,0.8907004460122773,-0.4026357480188918,0.21103831379822413,23,6,40.9,-,23,44,35,G9III,0.066,-0.003
8790,Ups Gru,218242,214313,0.01,5.61,0.7575255971780458,-0.6278574070445981,0.17874575810149737,23,6,53.6,-,38,53,32,A1V,0.04,0.013
8791,,218255,231445,1.45,6.33,0.6308826763989837,-0.761613714556312,0.14809320855255934,23,7,9.5,-,49,36,24,K4III,0.017,-0.014
8792,,218261,108402,0.49,6.3,0.914752016788549,0.3405573313014479,0.21736939038907516,23,6,31.9,+,19,54,39,F7V,0.295,0.002
8793,,218269,247739,0.48,5.83,0.6168536080820474,-0.7736897227533415,0.14455393146510215,23,7,14.7,-,50,41,11,F6-7IV-V,-0.044,-0.02
8794,,218288,258106,1.42,6.15,0.2754912043826932,-0.9592468748011593,0.0628492600750562,23,8,35.7,-,73,35,11,K3III,0.021,-0.011
8795,55    Peg,218329,127976,1.57,4.52,0.960287593487523,0.16348858327366964,0.22609560131305143,23,7,0.3,+,9,24,34,M1IIIab,0.011,-0.014
8796,56    Peg,218356,91019,1.34,4.76,0.878891484843195,0.4300121833895512,0.2064928086076479,23,7,6.8,+,25,28,6,G8Ib,0.004,-0.031
8797,1    Cas,218376,35147,-0.03,4.85,0.4950053507886439,0.8609171970798665,0.1174362910805602,23,6,36.9,+,59,25,11,B0.5IV,0.009,0.001
8798,,218395,73010,0.12,6.02,0.8183385905762449,0.5420871471240281,0.19095412039706658,23,7,27.7,+,32,49,33,A4Vn,-0.024,0.008
8799,,218396,91022,0.26,5.99,0.9083527154818186,0.3605530837040662,0.21188869273346095,23,7,28.7,+,21,8,3,A5V,0.108,-0.052
8800,,218407,52707,-0.05,6.66,0.6755426191217027,0.72016440341333,0.15813096409784094,23,7,18.1,+,46,4,5,B2V,0.005,-0.001
8801,,218416,35151,1.05,6.11,0.5883840246014159,0.7967028250104867,0.13809000041331765,23,7,10.1,+,52,48,59,K0III,0.013,0.006
8802,,218434,191674,0.88,5.6,0.8539557438451482,-0.4821105043356473,0.19577806098515604,23,8,21.0,-,28,49,24,G9III,-0.047,-0.031
8803,,218440,35152,-0.01,6.4,0.490780545167492,0.8636376070241656,0.11517178568847587,23,7,10.4,+,59,43,39,B2V,0.005,0.001
8804,4    And,218452,52711,1.41,5.33,0.671867642742785,0.7240180484150636,0.156178539513264,23,7,39.3,+,46,23,14,K5III,-0.009,-0.028
8805,5    And,218470,52713,0.44,5.7,0.6352827638660055,0.7580869122588575,0.14737721464527817,23,7,45.4,+,49,17,45,F5V,0.154,0.133
8806,,218525,52717,0.17,6.56,0.6943775262762889,0.7016765199260072,0.1596556055606863,23,8,12.3,+,44,33,42,A2IV,0.024,-0.005
8807,5    Psc,218527,127993,0.91,5.4,0.9743625571244064,0.037128192458354574,0.2218988611930292,23,8,40.9,+,2,7,40,G8III-IV,0.145,0.108
8808,,218537,20439,-0.02,6.26,0.432641851664059,0.8959702869033878,0.10029094263668806,23,7,47.7,+,63,38,0,B3V,0.002,-0.004
8809,,218558,255420,0.95,6.47,0.38377541169061063,-0.9195302223838886,0.08473844171530852,23,10,11.7,-,66,51,27,K0III,0.201,0.038
8810,,218559,258961,1.5,6.41,0.1545151318150356,-0.9874490537055213,0.03270229925024869,23,12,12.0,-,80,54,46,K4III,0.009,-0.011
8811,,218560,20441,1.1,6.21,0.42371170070568603,0.9004896168306166,0.09791243366061594,23,7,57.2,+,64,13,21,K0,0.01,0.001
8812,88    Aqr,218594,191683,1.22,3.66,0.9099034086093308,-0.36117704514539134,0.20402678515617806,23,9,26.8,-,21,10,21,K1III,0.055,0.031
8813,,218619,191686,1.31,5.87,0.8610939396111492,-0.47083652837452267,0.19191193478566654,23,9,44.6,-,28,5,19,K2III,0.022,0.003
8814,,218630,231464,0.48,5.81,0.7156048963423132,-0.6802163992037484,0.15879320698692997,23,9,57.3,-,42,51,38,F4IV,-0.325,-0.007
8815,57    Peg,218634,128001,1.47,5.12,0.9646757403271553,0.15086783530943904,0.21596206216208172,23,9,31.5,+,8,40,38,M4IIIS+A2V,0.004,0.002
8816,,218639,165522,0.01,6.42,0.9449948816900059,-0.2505583608685619,0.21025028270742285,23,9,49.6,-,14,30,38,A0Vn,0.031,-0.009
8817,89    Aqr,218640,191687,0.65,4.69,0.902181077899058,-0.38199802571011543,0.20036669142965804,23,9,54.8,-,22,27,27,G2IV+A2V,0.026,-0.009
8818,,218655,231465,1.62,5.83,0.7414828904258122,-0.6506637788477645,0.16382847768727607,23,10,9.8,-,40,35,30,M4III,0.035,-0.046
8819,33Pi  Cep,218658,10629,0.8,4.41,0.24578934235942768,0.9676541544495773,0.056859797387905704,23,7,53.9,+,75,23,15,G2III,0.012,-0.03
8820,Iot Gru,218670,231468,1.02,3.9,0.6876056194762366,-0.7101444165050341,0.15130571625495745,23,10,21.6,-,45,14,48,K1III,0.136,-0.03
8821,58    Peg,218700,128007,-0.08,5.39,0.9620093387944704,0.17058690066491178,0.21316224195144318,23,10,1.5,+,9,49,19,B9III,-0.012,-0.012
8822,2    Cas,218753,35186,0.33,5.7,0.4978286354457564,0.860146675129002,0.11097002746119886,23,9,44.1,+,59,19,59,A5III,-0.003,0.009
8823,,218759,191703,0.27,6.51,0.8501482949201459,-0.49280327753011033,0.18545297598030014,23,10,46.6,-,29,31,30,F1III-IV,-0.034,-0.058
8824,,218792,108443,1.34,5.71,0.9312595496233428,0.3022774653538925,0.2034305414006341,23,10,42.6,+,17,35,40,K4III,0.021,-0.028
8825,6    And,218804,52761,0.44,5.94,0.7079707887277795,0.6889135286791042,0.15548476552727258,23,10,27.2,+,43,32,39,F5IV,-0.191,-0.191
8826,59    Peg,218918,128022,0.13,5.16,0.9666044495316649,0.15160586048408892,0.20661921791659674,23,11,44.2,+,8,43,12,A5Vn,-0.006,-0.006
8827,60    Peg,218935,91080,0.94,6.17,0.8725709331837446,0.451613041758342,0.18618707548223382,23,11,49.2,+,26,50,50,G8III-IV,-0.19,-0.12
8828,,219023,231493,0.92,6.8,0.6344365615791269,-0.7617519339777903,0.131241153655212,23,13,15.0,-,49,37,8,G8-K0III,0.002,-0.018
8829,,219077,255435,0.79,6.12,0.44948586548877834,-0.8886172326549487,0.09122428708663378,23,14,6.6,-,62,42,0,G8V,0.473,-0.424
8830,7    And,219080,52787,0.29,4.52,0.6367932511442995,0.759343868590484,0.13375815687692102,23,12,33.0,+,49,24,23,F0V,0.092,0.098
8831,,219110,91095,0.93,6.35,0.8526597480594554,0.4915371883143588,0.1770947388919291,23,13,4.0,+,29,26,30,G8III,-0.031,-0.033
8832,,219134,35236,1.01,5.56,0.5309478157315769,0.8402670797209618,0.10975268428186281,23,13,17.0,+,57,10,6,K3V,2.075,0.296
8833,,219139,108463,1.01,5.82,0.9612284662731626,0.19192249306586148,0.19800402087212224,23,13,26.5,+,11,3,54,G8III,-0.005,-0.003
8834,90Phi Aqr,219215,146585,1.56,4.22,0.9747475530664751,-0.10537702287751977,0.19688293689497346,23,14,19.4,-,6,2,56,M1.5III,0.042,-0.196
8835,,219263,231512,1.18,5.77,0.7390063933286978,-0.6574483102721693,0.1470757285876208,23,14,58.6,-,41,6,20,K2III,0.112,-0.112
8836,,219279,165578,1.49,6.12,0.9634913096207142,-0.18547129422686243,0.1930929706208224,23,14,40.2,-,10,41,19,K5III,-0.001,-0.034
8837,,219290,35251,0.0,6.31,0.6218843410346861,0.7729304809604938,0.1258504587915118,23,14,14.3,+,50,37,4,A0V,0.038,-0.006
8838,,219291,91111,0.45,6.41,0.8508575576773175,0.4965447816249528,0.17171108404648255,23,14,21.7,+,29,46,18,F6IV w,-0.007,-0.013
8839,,219310,91113,0.91,6.36,0.8949673238193817,0.40837914079545634,0.17961059728963344,23,14,36.5,+,24,6,11,K2III,0.114,0.007
8840,,219402,146593,0.06,5.55,0.9794423648842212,-0.060985631190885896,0.19228470209107434,23,15,34.3,-,3,29,47,A3V,-0.007,-0.003
8841,91Psi1Aqr,219449,146598,1.11,4.21,0.9692161598008835,-0.15794743049975413,0.18887203281416054,23,15,53.5,-,9,5,16,K0III,0.372,-0.016
8842,61    Peg,219477,91130,0.85,6.49,0.8645564228115354,0.47328550139833286,0.1689468139428801,23,15,46.3,+,28,14,52,G5II-III,0.02,-0.005
8843,,219482,255446,0.51,5.66,0.4612010488261141,-0.882956696942362,0.0876416789337474,23,16,57.7,-,62,0,4,F7V,0.173,-0.026
8844,,219485,10664,0.0,5.84,0.2664480987129607,0.9623656974835753,0.05345722588387882,23,14,37.3,+,74,13,52,A0V,0.048,0.006
8845,,219487,91133,0.4,6.6,0.8912800719834117,0.4189943220895594,0.1733885559717102,23,15,57.9,+,24,46,16,F5V,0.093,0.005
8846,,219507,231532,1.06,5.92,0.7006661761871584,-0.7007743922772528,0.1340975789330771,23,16,39.7,-,44,29,21,K1III,-0.004,-0.007
8847,,219531,231533,1.08,6.47,0.7391687564252768,-0.65861650081403,0.14090370605556385,23,16,49.8,-,41,11,40,K0III,-0.024,0.012
8848,Gam Tuc,219571,247814,0.4,3.99,0.5173689446542218,-0.8502220899919547,0.09722022833283789,23,17,25.8,-,58,14,9,F1III,-0.029,0.079
8849,,219572,258127,0.91,6.33,0.17980597856053998,-0.9831682133185045,0.032404851395837396,23,19,8.1,-,79,28,22,K0III,0.013,0.007
8850,92Chi Aqr,219576,146612,1.6,5.06,0.973407939051387,-0.13444739541426193,0.18547474776381892,23,16,50.9,-,7,43,36,M3III,-0.016,-0.015
8851,,219586,10671,0.24,5.56,0.32129807343555566,0.9448806765473552,0.06299250029973857,23,15,37.8,+,70,53,17,F0IV,0.018,-0.005
8852,6Gam Psc,219615,128085,0.92,3.69,0.9809726283161821,0.05725425794005825,0.18551186604143338,23,17,9.9,+,3,16,56,G9-III:Fe-2,0.762,0.017
8853,,219623,35285,0.52,5.54,0.5881798123149367,0.8008736516226781,0.11245400180395079,23,16,42.3,+,53,12,49,F7V,0.115,-0.233
8854,,219634,20531,0.23,6.53,0.4615787395854514,0.8826446930338206,0.08878858610169758,23,16,26.8,+,61,57,47,B0Vn,-0.026,-0.002
8855,,219644,255455,1.35,6.13,0.3768344960949169,-0.9236864637132398,0.06927538744618976,23,18,20.0,-,67,28,16,K2-3III,0.021,0.014
8856,,219659,165609,0.05,6.34,0.962519625489166,-0.2030104181793516,0.17984087593992742,23,17,40.0,-,11,42,47,A1Vn,0.039,-0.003
8857,,219668,52865,1.07,6.43,0.6928622658212406,0.7091299127618208,0.13067764700770046,23,17,16.6,+,45,9,51,K0IV,0.097,-0.065
8858,93Psi2Aqr,219688,146620,-0.15,4.39,0.9705785809487643,-0.15957967662408906,0.18030958103227365,23,17,54.2,-,9,10,57,B5V,0.021,-0.012
8859,Phi Gru,219693,231539,0.44,5.53,0.7441440194879657,-0.6537435058854226,0.1373648673166857,23,18,9.9,-,40,49,28,F5V,0.136,-0.128
8860,8    And,219734,52871,1.67,4.85,0.644741981928983,0.7548844899065115,0.12023802907929271,23,17,44.7,+,49,0,55,M2+IIIBa0.3,0.037,0.008
8861,,219749,52876,-0.03,6.48,0.6892722009079882,0.7131145115831774,0.1279512658200157,23,17,56.1,+,45,29,20,B9pSi,0.034,-0.017
8862,Tau Oct,219765,258970,1.27,5.49,0.043503496553738204,-0.9990346392343333,0.006102081409185566,23,28,3.7,-,87,28,56,K2III,0.015,0.009
8863,Gam Scl,219784,214444,1.13,4.41,0.8295207027798851,-0.5377697456819026,0.15066221918180844,23,18,49.4,-,32,31,55,K1III,0.019,-0.07
8864,9    And,219815,52881,0.0,6.02,0.7335249162423941,0.6661890534512582,0.13466009918793795,23,18,23.4,+,41,46,25,A7/8Vm,-0.006,-0.012
8865,95Psi3Aqr,219832,146635,-0.02,4.98,0.970199823094917,-0.16695517323761389,0.17560829535016292,23,18,57.7,-,9,36,39,A0V,0.047,-0.002
8866,94    Aqr,219834,165625,0.8,5.08,0.9571003641555607,-0.2327476048261955,0.1725903977078741,23,19,6.7,-,13,27,32,G5IV,0.298,-0.101
8867,,219841,10684,0.03,6.38,0.24938323834921192,0.9672640619138723,0.046991860575388955,23,17,18.9,+,75,17,57,A2V s,0.018,-0.002
8868,96    Aqr,219877,146639,0.39,5.55,0.9804153712401098,-0.08931923577855852,0.17552143446329294,23,19,24.0,-,5,7,28,F3IV-V,0.202,-0.02
8869,,219879,165628,1.52,5.93,0.935773025851236,-0.3102662682253934,0.1675221982028355,23,19,24.1,-,18,4,31,gK3,0.004,0.009
8870,,219891,52892,0.0,6.5,0.6941752745353815,0.7087982579171636,0.12540222405253298,23,19,2.4,+,45,8,14,A5Vn,0.058,0.006
8871,,219912,214459,1.3,6.37,0.8190609428316319,-0.554961391358481,0.1454545497027066,23,19,43.2,-,33,42,29,K2III,0.047,-0.041
8872,34Omi Cep,219916,20554,0.84,4.75,0.3667402027468934,0.9279121830870568,0.0669373152119202,23,18,37.5,+,68,6,42,K0III,0.058,0.016
8873,,219927,73171,-0.08,6.32,0.8083991528299367,0.5706180187723326,0.14451950164658894,23,19,27.4,+,34,47,36,B8III,0.016,-0.003
8874,11    And,219945,52907,1.03,5.44,0.6506854360160039,0.7504027544863238,0.1162074413107913,23,19,29.8,+,48,37,31,K0III,0.019,0.056
8875,,219962,52912,1.12,6.32,0.6539310881715701,0.7475759511089665,0.11620812900253685,23,19,41.6,+,48,22,51,K1III,0.209,0.032
8876,10    And,219981,52914,1.48,5.79,0.7308850353584615,0.6701423909623027,0.1292913025860161,23,19,52.4,+,42,4,41,M0III,0.052,0.01
8877,,220003,247838,0.42,6.05,0.6293744354944888,-0.7694738738489256,0.10861757413016206,23,20,50.0,-,50,18,24,F5mDel Del,0.028,-0.077
8878,7    Psc,220009,128126,1.2,5.05,0.980725084974805,0.09378492477869436,0.1714138138698746,23,20,20.6,+,5,22,53,K2III,0.082,-0.062
8879,,220035,146652,1.07,6.17,0.9800862140854139,-0.10293238697579364,0.16981147390911439,23,20,40.9,-,5,54,29,K0III,-0.101,-0.057
8880,62Tau Peg,220061,91186,0.17,4.6,0.9019112223566764,0.40259136962671066,0.15644914857286685,23,20,38.2,+,23,44,25,A5Vp,0.033,-0.008
